2025-03-27 23:48:53,021 - Node-3 - INFO - Initializing node 3
2025-03-27 23:51:27,402 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:27,407 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:27,413 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:27,615 - Node-3 - INFO - Starting election for term 1346
2025-03-27 23:51:27,943 - Node-3 - INFO - Starting election for term 1347
2025-03-27 23:51:28,432 - Node-3 - INFO - Granted vote to node 4 for term 1348
2025-03-27 23:51:28,682 - Node-3 - INFO - Starting election for term 1349
2025-03-27 23:51:28,911 - Node-3 - INFO - Starting election for term 1350
2025-03-27 23:51:29,147 - Node-3 - INFO - Starting election for term 1351
2025-03-27 23:51:29,424 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:29,431 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:29,439 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:29,455 - Node-3 - INFO - Granted vote to node 4 for term 1352
2025-03-27 23:51:29,735 - Node-3 - INFO - Granted vote to node 4 for term 1353
2025-03-27 23:51:30,015 - Node-3 - INFO - Granted vote to node 4 for term 1354
2025-03-27 23:51:30,293 - Node-3 - INFO - Granted vote to node 4 for term 1355
2025-03-27 23:51:30,516 - Node-3 - INFO - Granted vote to node 4 for term 1356
2025-03-27 23:51:30,741 - Node-3 - INFO - Granted vote to node 4 for term 1357
2025-03-27 23:51:30,979 - Node-3 - INFO - Granted vote to node 4 for term 1358
2025-03-27 23:51:31,159 - Node-3 - INFO - Granted vote to node 4 for term 1359
2025-03-27 23:51:31,441 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:31,444 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:31,449 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:31,465 - Node-3 - INFO - Starting election for term 1360
2025-03-27 23:51:31,788 - Node-3 - INFO - Starting election for term 1361
2025-03-27 23:51:31,961 - Node-3 - INFO - Starting election for term 1362
2025-03-27 23:51:32,193 - Node-3 - INFO - Starting election for term 1363
2025-03-27 23:51:32,426 - Node-3 - INFO - Starting election for term 1364
2025-03-27 23:51:32,649 - Node-3 - INFO - Starting election for term 1365
2025-03-27 23:51:32,940 - Node-3 - INFO - Starting election for term 1366
2025-03-27 23:51:33,173 - Node-3 - INFO - Starting election for term 1367
2025-03-27 23:51:33,455 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:33,462 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:33,471 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:33,509 - Node-3 - INFO - Starting election for term 1368
2025-03-27 23:51:33,735 - Node-3 - INFO - Starting election for term 1369
2025-03-27 23:51:34,070 - Node-3 - INFO - Starting election for term 1370
2025-03-27 23:51:34,653 - Node-3 - INFO - Starting election for term 1371
2025-03-27 23:51:35,236 - Node-3 - INFO - Granted vote to node 4 for term 1372
2025-03-27 23:51:35,479 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:35,485 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:35,491 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:35,555 - Node-3 - INFO - Starting election for term 1373
2025-03-27 23:51:36,088 - Node-3 - INFO - Granted vote to node 4 for term 1374
2025-03-27 23:51:36,402 - Node-3 - INFO - Starting election for term 1375
2025-03-27 23:51:36,678 - Node-3 - INFO - Starting election for term 1376
2025-03-27 23:51:36,999 - Node-3 - INFO - Granted vote to node 4 for term 1377
2025-03-27 23:51:37,231 - Node-3 - INFO - Granted vote to node 4 for term 1378
2025-03-27 23:51:37,502 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:37,514 - Node-3 - INFO - Granted vote to node 4 for term 1379
2025-03-27 23:51:37,520 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:37,526 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:37,803 - Node-3 - INFO - Granted vote to node 4 for term 1380
2025-03-27 23:51:38,084 - Node-3 - INFO - Granted vote to node 4 for term 1381
2025-03-27 23:51:38,425 - Node-3 - INFO - Granted vote to node 4 for term 1382
2025-03-27 23:51:38,652 - Node-3 - INFO - Granted vote to node 4 for term 1383
2025-03-27 23:51:38,958 - Node-3 - INFO - Starting election for term 1384
2025-03-27 23:51:39,196 - Node-3 - INFO - Starting election for term 1385
2025-03-27 23:51:39,487 - Node-3 - INFO - Starting election for term 1386
2025-03-27 23:51:39,534 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:39,540 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:39,547 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:39,666 - Node-3 - INFO - Starting election for term 1387
2025-03-27 23:51:39,948 - Node-3 - INFO - Starting election for term 1388
2025-03-27 23:51:40,170 - Node-3 - INFO - Starting election for term 1389
2025-03-27 23:51:40,480 - Node-3 - INFO - Granted vote to node 4 for term 1390
2025-03-27 23:51:40,662 - Node-3 - INFO - Granted vote to node 4 for term 1391
2025-03-27 23:51:40,884 - Node-3 - INFO - Granted vote to node 4 for term 1392
2025-03-27 23:51:41,117 - Node-3 - INFO - Granted vote to node 4 for term 1393
2025-03-27 23:51:41,398 - Node-3 - INFO - Granted vote to node 4 for term 1394
2025-03-27 23:51:41,555 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:41,559 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:41,565 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:41,680 - Node-3 - INFO - Granted vote to node 4 for term 1395
2025-03-27 23:51:41,967 - Node-3 - INFO - Granted vote to node 4 for term 1396
2025-03-27 23:51:42,135 - Node-3 - INFO - Granted vote to node 4 for term 1397
2025-03-27 23:51:42,314 - Node-3 - INFO - Granted vote to node 4 for term 1398
2025-03-27 23:51:42,544 - Node-3 - INFO - Granted vote to node 4 for term 1399
2025-03-27 23:51:42,787 - Node-3 - INFO - Granted vote to node 4 for term 1400
2025-03-27 23:51:43,076 - Node-3 - INFO - Granted vote to node 4 for term 1401
2025-03-27 23:51:43,366 - Node-3 - INFO - Granted vote to node 4 for term 1402
2025-03-27 23:51:43,570 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:43,578 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:43,597 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:43,648 - Node-3 - INFO - Granted vote to node 4 for term 1403
2025-03-27 23:51:43,932 - Node-3 - INFO - Granted vote to node 4 for term 1404
2025-03-27 23:51:44,209 - Node-3 - INFO - Granted vote to node 4 for term 1405
2025-03-27 23:51:44,523 - Node-3 - INFO - Starting election for term 1406
2025-03-27 23:51:44,808 - Node-3 - INFO - Starting election for term 1407
2025-03-27 23:51:45,142 - Node-3 - INFO - Granted vote to node 4 for term 1408
2025-03-27 23:51:45,458 - Node-3 - INFO - Starting election for term 1409
2025-03-27 23:51:45,765 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:45,773 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:45,781 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:45,923 - Node-3 - INFO - Starting election for term 1410
2025-03-27 23:51:46,150 - Node-3 - INFO - Starting election for term 1411
2025-03-27 23:51:46,435 - Node-3 - INFO - Starting election for term 1412
