2025-03-27 23:48:53,545 - Node-4 - INFO - Initializing node 4
2025-03-27 23:51:41,556 - Node-4 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:41,560 - Node-4 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:41,567 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:41,673 - Node-4 - INFO - Starting election for term 1395
2025-03-27 23:51:41,955 - Node-4 - INFO - Starting election for term 1396
2025-03-27 23:51:42,129 - Node-4 - INFO - Starting election for term 1397
2025-03-27 23:51:42,306 - Node-4 - INFO - Starting election for term 1398
2025-03-27 23:51:42,531 - Node-4 - INFO - Starting election for term 1399
2025-03-27 23:51:42,775 - Node-4 - INFO - Starting election for term 1400
2025-03-27 23:51:43,065 - Node-4 - INFO - Starting election for term 1401
2025-03-27 23:51:43,355 - Node-4 - INFO - Starting election for term 1402
2025-03-27 23:51:43,572 - Node-4 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:43,580 - Node-4 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:43,603 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:43,642 - Node-4 - INFO - Starting election for term 1403
2025-03-27 23:51:43,921 - Node-4 - INFO - Starting election for term 1404
2025-03-27 23:51:44,201 - Node-4 - INFO - Starting election for term 1405
2025-03-27 23:51:44,530 - Node-4 - INFO - Granted vote to node 3 for term 1406
2025-03-27 23:51:44,820 - Node-4 - INFO - Granted vote to node 3 for term 1407
2025-03-27 23:51:45,131 - Node-4 - INFO - Starting election for term 1408
2025-03-27 23:51:45,463 - Node-4 - INFO - Starting election for term 1409
2025-03-27 23:51:45,767 - Node-4 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:45,775 - Node-4 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:45,785 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:45,931 - Node-4 - INFO - Granted vote to node 3 for term 1410
2025-03-27 23:51:46,162 - Node-4 - INFO - Granted vote to node 3 for term 1411
2025-03-27 23:51:46,441 - Node-4 - INFO - Granted vote to node 3 for term 1412
2025-03-27 23:51:46,721 - Node-4 - INFO - Granted vote to node 3 for term 1413
2025-03-27 23:51:47,010 - Node-4 - INFO - Granted vote to node 3 for term 1414
2025-03-27 23:51:47,294 - Node-4 - INFO - Granted vote to node 3 for term 1415
2025-03-27 23:51:47,471 - Node-4 - INFO - Granted vote to node 3 for term 1416
2025-03-27 23:51:47,767 - Node-4 - INFO - Starting election for term 1417
2025-03-27 23:51:47,786 - Node-4 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:47,791 - Node-4 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:47,799 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:48,043 - Node-4 - INFO - Starting election for term 1418
2025-03-27 23:51:48,281 - Node-4 - INFO - Starting election for term 1419
2025-03-27 23:51:48,570 - Node-4 - INFO - Starting election for term 1420
2025-03-27 23:51:48,858 - Node-4 - INFO - Starting election for term 1421
2025-03-27 23:51:49,091 - Node-4 - INFO - Starting election for term 1422
2025-03-27 23:51:49,377 - Node-4 - INFO - Starting election for term 1423
2025-03-27 23:51:49,709 - Node-4 - INFO - Starting election for term 1424
2025-03-27 23:51:50,019 - Node-4 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:50,061 - Node-4 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
